Dataset,Model,MAE,RMSE,R2,CV,Time
A,RF,14920.288177698416,20253.35141692193,0.9330564866868468,0.9360325905771238,0.2562265396118164
A,SVM,64601.809336996266,79536.70430531369,-0.03240449734422324,-0.012123978322046947,0.02568840980529785
A,XGB,15794.8984375,20381.762043552564,0.9322049021720886,0.931996762752533,0.17557096481323242
B,RF,13143.525614488464,18709.56846065197,0.9430923606793618,0.944314665104551,0.47234320640563965
B,SVM,63281.602565799665,78272.61634844802,0.003992219781401185,0.02376366632920619,0.07859110832214355
B,XGB,12589.076171875,17490.15082839482,0.9502686858177185,0.9461995720863342,0.1683657169342041
C,RF,14829.746638428902,20253.63399746936,0.9369597126556027,0.9431315622339248,0.4315617084503174
C,SVM,61577.857638063404,77019.34505352835,0.08838405817969874,0.07902214407321488,0.17395448684692383
C,XGB,14211.5546875,19599.88653028379,0.9409636855125427,0.9460764169692993,0.11796927452087402
